family,kind,scenario,spearman,top20_overlap,max_rank_shift,numeric_candidates,baseline_retained,candidate_jaccard,frozen_review_followups_retained,new_numeric_candidates_pending_review
potential,score_component_ablation,without_papers,0.8027107198636255,0.45,235.0,5,5,1.0,3,0
potential,gate_ablation,without_papers,0.9999999999999998,1.0,0.0,6,5,0.8333333333333334,3,1
potential,gate_ablation,without_patents,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,gate_ablation,without_policies,0.9999999999999998,1.0,0.0,60,5,0.08333333333333333,3,55
potential,gate_ablation,without_relative,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,gate_ablation,without_may_relative,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,gate_ablation,without_may_patents,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,semantic_review_ablation,numeric_only_no_scope_review,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
core,threshold_joint,count_thresholds_x0.8,0.9983258961785916,0.95,35.0,32,21,0.65625,6,11
core,threshold_joint,count_thresholds_x1.2,0.9987405221761757,0.9,25.0,9,9,0.42857142857142855,0,0
core,threshold_legacy,original_750_count_rules_on_sample,0.9962545427708972,0.85,48.0,0,0,0.0,0,0
emerging,threshold_joint,count_thresholds_x0.8,1.0,1.0,0.0,30,29,0.9666666666666667,2,1
emerging,threshold_joint,count_thresholds_x1.2,1.0,1.0,0.0,26,26,0.896551724137931,2,0
emerging,threshold_legacy,original_750_count_rules_on_sample,1.0,1.0,0.0,0,0,0.0,0,0
core,threshold_one_at_time,annual_volume=48,1.0,1.0,0.0,31,21,0.6774193548387096,6,10
core,threshold_one_at_time,annual_volume=72,1.0,1.0,0.0,10,10,0.47619047619047616,0,0
core,threshold_one_at_time,current_volume=40,1.0,1.0,0.0,21,21,1.0,6,0
core,threshold_one_at_time,current_volume=60,1.0,1.0,0.0,21,21,1.0,6,0
core,threshold_one_at_time,current_share=0.7,1.0,1.0,0.0,22,21,0.9545454545454546,6,1
core,threshold_one_at_time,current_share=0.9,1.0,1.0,0.0,18,18,0.8571428571428571,6,0
core,threshold_one_at_time,quarter_fraction=0.5,1.0,1.0,0.0,21,21,1.0,6,0
core,threshold_one_at_time,quarter_fraction=1.0,1.0,1.0,0.0,20,20,0.9523809523809523,6,0
emerging,threshold_one_at_time,volume=20,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,volume=30,1.0,1.0,0.0,26,26,0.896551724137931,2,0
emerging,threshold_one_at_time,baseline=6,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,baseline=10,1.0,1.0,0.0,27,27,0.9310344827586207,2,0
emerging,threshold_one_at_time,multiyear=1.15,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,multiyear=1.35,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,recent_growth=1.05,1.0,1.0,0.0,30,29,0.9666666666666667,2,1
emerging,threshold_one_at_time,recent_growth=1.25,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,quarters=2,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,quarters=4,1.0,1.0,0.0,23,23,0.7931034482758621,2,0
emerging,threshold_one_at_time,peak=1.0,1.0,1.0,0.0,30,29,0.9666666666666667,2,1
emerging,threshold_one_at_time,peak=1.15,1.0,1.0,0.0,27,27,0.9310344827586207,1,0
emerging,threshold_one_at_time,lower95=1.0,1.0,1.0,0.0,29,29,1.0,2,0
emerging,threshold_one_at_time,lower95=1.15,1.0,1.0,0.0,28,28,0.9655172413793104,2,0
emerging,threshold_one_at_time,qvalue=0.01,1.0,1.0,0.0,17,17,0.5862068965517241,0,0
emerging,threshold_one_at_time,qvalue=0.1,1.0,1.0,0.0,34,29,0.8529411764705882,2,5
core,window,core_1y,0.9136974634359039,0.95,225.0,32,21,0.65625,6,11
core,window,core_5y,0.9765647098850075,0.95,104.0,10,10,0.47619047619047616,3,0
emerging,window,baseline_2y_omit_None,0.9873484359809941,0.8,95.0,22,22,0.7586206896551724,2,0
emerging,window,baseline_4y_omit_None,0.9938514106835366,0.9,89.0,28,26,0.8387096774193549,1,2
emerging,window,baseline_3y_omit_1,0.9857599647870519,0.75,112.0,21,20,0.6666666666666666,1,1
emerging,window,baseline_3y_omit_2,0.9943484529177935,0.8,106.0,25,24,0.8,1,1
emerging,window,baseline_3y_omit_3,0.9873484359809941,0.8,95.0,22,22,0.7586206896551724,2,0
potential,threshold_one_at_time,papers=8,0.9999999999999998,1.0,0.0,6,5,0.8333333333333334,3,1
potential,threshold_one_at_time,papers=12,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,patents=4,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,patents=6,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,policies=1,0.9999999999999998,1.0,0.0,7,5,0.7142857142857143,3,2
potential,threshold_one_at_time,policies=3,0.9999999999999998,1.0,0.0,4,4,0.8,2,0
potential,threshold_one_at_time,relative=1.1,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,relative=1.4,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,may_patents=1,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,threshold_one_at_time,may_patents=3,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,transfer_confidence_or_source,baseline,0.9999999999999998,1.0,0.0,5,5,1.0,3,0
potential,transfer_confidence_or_source,no_confidence_filter,0.9342353041583978,0.95,258.0,10,4,0.36363636363636365,3,6
potential,transfer_confidence_or_source,no_cosine_gate,0.961019285463482,0.95,239.0,9,5,0.5555555555555556,3,4
potential,transfer_confidence_or_source,no_margin_gate,0.9788185856568162,1.0,272.0,6,5,0.8333333333333334,3,1
potential,transfer_confidence_or_source,cosine_minus_0.02,0.9823136214178503,0.95,238.0,7,5,0.7142857142857143,3,2
potential,transfer_confidence_or_source,cosine_plus_0.02,0.9606715498605265,0.85,344.0,3,3,0.6,3,0
potential,transfer_confidence_or_source,margin_half,0.9869762917942938,0.95,278.0,5,5,1.0,3,0
potential,transfer_confidence_or_source,margin_double,0.9608361017868433,0.9,343.0,4,4,0.8,2,0
potential,transfer_confidence_or_source,remove_patents,-0.19607313584000505,0.0,494.0,0,0,0.0,0,0
potential,transfer_confidence_or_source,remove_policies,0.9961452485650396,0.95,154.0,0,0,0.0,0,0
