category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter,core_numeric_candidate,emerging_numeric_candidate,core_failed_gates,emerging_failed_gates,core_rank,emerging_rank,abstract_available_core_candidate,abstract_available_emerging_candidate,abstract_available_multiyear_ratio,abstract_available_yoy_ratio,title_year_dedup_core_candidate,title_year_dedup_emerging_candidate,title_year_dedup_multiyear_ratio,title_year_dedup_yoy_ratio,exclude_jan1_core_candidate,exclude_jan1_emerging_candidate,exclude_jan1_multiyear_ratio,exclude_jan1_yoy_ratio,assignment_margin_core_candidate,assignment_margin_emerging_candidate,assignment_margin_multiyear_ratio,assignment_margin_yoy_ratio,equal_quarter_quota_core_candidate,equal_quarter_quota_emerging_candidate,equal_quarter_quota_multiyear_ratio,equal_quarter_quota_yoy_ratio,core_robust_candidate,emerging_robust_candidate,scope_review_status
N0293,Transmission (telecommunications) / Transmission system / Power transmission,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,25,11973,0.002086230876216968,10,11985,0.0008581937065794851,13,9992,0.0013181019332161687,6,7998,0.0007880698351115422,12,7996,0.0015158864904195974,25,10,2.4309556924299622,3,29,9.666666666666666,0.0009881218249690653,2.111309378559957,1.3762447844228094,0.22958312848261464,4,3,3,48,0.0014208421720042074,4,0,0.3333333333333333,46,82,16.333333333333332,2.7115384615384617,0.30717277518922226,0.0009760132340777502,2.137502651988402,1.2581747030706938,0.0019221099779323653,0.030032968405193206,36.99,93.91999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,320,14,False,False,1.6285946407064602,2.122673267326733,False,True,2.1147809584807655,2.433552909184678,False,False,2.1127753755613177,2.335883091677132,False,False,2.637482196359074,3.1249172075771625,False,False,2.293850458633535,2.6,False,False,待主题与代表文献审阅
N0381,Sensitivity (control systems) / Electronic engineering / Parametric statistics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,38,11973,0.0031497995582099323,16,11985,0.001348590110339191,18,9992,0.0018062878344073422,15,7998,0.001879243452958293,13,7996,0.001637157409653165,38,16,2.335624096648395,3,49,16.333333333333332,0.0016780404659016087,1.877070083955067,1.6760997907171304,0.2780324997273462,4,4,3,72,0.002101559167652155,7,1,0.5833333333333334,96,166,33.666666666666664,2.7980769230769234,0.4040721883052316,0.0016377171215880893,1.9232866999372769,1.2622031715670243,0.0008762162796495995,0.019048179992382598,62.43000000000001,93.73,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,169,15,False,False,1.7683622442898241,2.3072535514421006,False,True,1.880231539138946,2.338119461765671,False,False,1.8221863139150039,2.0679681851048444,False,False,1.6034497155241423,2.1045360785723752,False,True,2.5518278437004356,6.333333333333333,False,False,待主题与代表文献审阅
N0303,Irradiance / Remote sensing / Solar irradiance,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,32,11973,0.0026589217049824104,11,11985,0.0009399264405394361,13,9992,0.0013181019332161687,16,7998,0.0020004849660523764,15,7996,0.0018796992481203006,32,11,2.8288614835182426,3,40,13.333333333333334,0.0014195044466026605,1.8731337625226054,1.3291385589512072,0.3508639470682704,3,3,3,56,0.0016389833595793384,4,1,0.3333333333333333,53,107,26.0,2.0,0.40228014671757123,0.0013399503722084367,1.9843434205702062,1.2507041079500136,0.0013933469893141048,0.02488119623775187,48.85,92.15,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,252,20,False,False,1.6725264592579805,3.0429931454683934,False,True,1.8763936030496513,2.8318838201509684,False,False,1.8260497809870062,3.1908468376504615,False,False,1.6123735241803854,2.17773733347924,False,False,1.8166315311291947,2.5294117647058827,False,False,待主题与代表文献审阅
N0408,Monte Carlo method / Statistical physics / Computational physics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,26,11973,0.002168043851754888,18,11985,0.0015120555782590927,6,9992,0.0006346416715485257,2,7998,0.00030310378273520856,11,7996,0.0013946155711860296,26,18,1.4338387311470842,3,26,8.666666666666666,0.0008166003441809423,2.6549631863423424,1.4338387311470842,0.6142600231679092,4,3,3,50,0.001438247033854169,5,0,0.4166666666666667,42,85,15.666666666666666,2.5800000000000005,0.3014175709764615,0.0008767576509511993,2.4727971856336413,1.4432486261247424,0.0003036703624975593,0.008162499197028772,38.97,91.94999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,304,21,False,False,2.47218160584943,1.6360525182953078,False,True,2.658611558422279,1.4353706348291186,False,False,2.810664426940956,1.5984242152242751,False,False,3.1167215752515736,1.4890158491404544,False,False,2.441715897926374,1.2962962962962965,False,False,待主题与代表文献审阅
N0138,Context (archaeology) / Environmental economics / Energy transition,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,64,11973,0.00527693692219586,26,11985,0.0021659174499387003,35,9992,0.0034661198984573325,17,7998,0.00212172647914646,28,7996,0.0034562211981566822,64,26,2.4363518204930696,3,78,26.0,0.0025845879425141645,2.0416937011099363,1.5224334635811267,0.2101550087827948,4,4,3,125,0.003636324756863964,11,2,0.9166666666666666,90,198,51.333333333333336,1.7388535031847132,0.3197425554014723,0.002597187758478081,2.0317887703613997,1.461593582862984,6.255979298761214e-06,0.0005213316082301011,73.54,91.86999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years,,106,22,False,True,2.072016885763793,2.4709611205022943,False,True,2.0450694847480007,2.4389548024348104,False,True,2.0091756388361737,2.7663439324198014,False,True,3.5755910658760195,3.136437639678829,False,True,1.9300094561211443,2.024390243902439,False,True,待主题与代表文献审阅
N0254,Flexibility (engineering) / Environmental economics / Prosumer,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,66,11973,0.005440562873271701,31,11985,0.002574581119738455,32,9992,0.0031732083577426283,24,7998,0.0029704170708050436,22,7996,0.0027285956827552754,66,31,2.113183706491405,3,87,29.0,0.002906068849428709,1.8721383267781961,1.7145306137861158,0.269569674285675,4,4,3,129,0.003729450783584261,11,3,0.9166666666666666,116,230,60.666666666666664,1.8972972972972975,0.4442729115503156,0.0028949545078577337,1.8793258610815675,1.3662257304202214,3.1052076844238573e-05,0.0015526038422119287,81.08999999999999,91.72,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume,,67,24,False,True,2.217369946164081,2.8945544554455442,False,True,1.847041295430669,2.0836302686483195,False,True,1.7008617839406808,2.1078927594175774,False,True,2.1010748893412106,2.1170074034824333,False,True,1.7545015972177622,1.9787234042553192,False,True,待主题与代表文献审阅
N0432,Resource (disambiguation) / Natural resource / Natural resource economics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,34,11973,0.002822547656058251,17,11985,0.0014303228442991418,17,9992,0.0017086506541691077,10,7998,0.0012730358874878758,9,7996,0.001152073732718894,34,17,1.97336403267844,3,44,14.666666666666666,0.0014706697953187084,1.9192259642801581,1.6519161767627775,0.250967966676539,4,3,3,68,0.0019871737181755005,7,1,0.5833333333333334,46,101,26.0,1.7407407407407407,0.31636691074078516,0.0014722911497105045,1.917112424817093,1.2290103489347664,0.0016128695441992166,0.02688115906998694,52.24000000000001,90.63,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,230,28,False,False,1.7813533780942465,1.891108910891089,False,True,1.922343179740814,1.9754723615734449,False,False,1.7359369421909407,1.7633164617980237,False,False,1.7798773221490687,1.4186132085191563,False,True,2.372829482766677,3.1176470588235294,False,False,待主题与代表文献审阅
N0313,Quality (philosophy) / Power quality / Voltage sag,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,29,11973,0.0024134827783686493,13,11985,0.001103391908459338,17,9992,0.0017086506541691077,6,7998,0.0007880698351115422,7,7996,0.0009095318942517585,29,13,2.187330503210402,3,36,12.0,0.0012000374659133291,2.0111728566172613,1.4125080352029544,0.172683436330769,4,4,3,59,0.001741841780332365,6,0,0.5,33,89,20.333333333333332,1.59375,0.2171225617388537,0.001207609594706369,1.9985621089367787,1.2301945510943475,0.002042254894012616,0.030943255969888124,44.36,89.53,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,277,34,False,False,2.0481955169215222,2.7810425160163077,False,True,2.0144336446919766,2.189667432447216,False,False,1.7191840128887954,1.6437695830320558,False,False,2.114673507868678,2.553503775334481,False,False,1.9521743362018098,1.952380952380952,False,False,待主题与代表文献审阅
N0446,Noise (video) / Noise reduction / Phase noise,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,36,11973,0.0029861736071340917,19,11985,0.0015937883122190436,18,9992,0.0018062878344073422,9,7998,0.0011517943743937925,9,7996,0.001152073732718894,36,19,1.87363251709157,3,46,15.333333333333334,0.0015172901736733926,1.9680965835984425,1.653210274825263,0.2513595093747001,3,4,3,73,0.0021287499179201592,8,1,0.6666666666666666,54,99,22.0,2.391304347826087,0.2904989296049803,0.0015384615384615385,1.9410128446371595,1.2583189797270868,0.0010251515644576262,0.020503031289152523,54.13,89.38,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,217,35,False,True,2.653532357413605,2.8945544554455447,False,False,1.9172337104146193,1.8242470525864027,False,True,2.1640721597206456,3.2702363283479854,False,False,1.6159313412736473,1.5641119991365056,False,False,1.5924329019438925,1.303030303030303,False,False,待主题与代表文献审阅
N0087,Process (computing) / Process engineering / Engineering,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,59,11973,0.004867872044506259,35,11985,0.002901512055578259,24,9992,0.0023921109158367504,22,7998,0.002727934044616877,19,7996,0.0023647829250545717,59,35,1.6777018159023682,3,81,27.0,0.0026738523386772954,1.8205463234047934,1.6777018159023682,0.3552403426230679,4,4,3,118,0.003387165005307089,10,2,0.8333333333333334,79,200,56.333333333333336,1.3953488372093024,0.2888606657698988,0.002696443341604632,1.8052936508613702,1.292407059074023,0.00017903563548984363,0.005594863609057614,70.10000000000001,88.27000000000001,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years,,128,40,False,True,1.910132712908404,1.7449441752685906,False,True,1.7928281863006708,1.6512674669612688,False,True,1.8710573415840779,1.653885088158407,False,True,2.1083621888195174,1.8500340411636225,False,True,1.7439778895240332,1.5957446808510638,False,True,待主题与代表文献审阅
N0443,Aerodynamics / Aerospace engineering / Airfoil,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,42,11973,0.0034770514603616135,19,11985,0.0015937883122190436,23,9992,0.002294473735598516,15,7998,0.001879243452958293,21,7996,0.0026073247635217075,42,19,2.181626903462787,3,57,19.0,0.0019225018335919507,1.8086076172240544,1.3335705275414822,0.20784057251274524,3,3,3,84,0.002455104502726391,10,1,0.8333333333333334,72,146,35.666666666666664,1.990909090909091,0.35085561425222517,0.001902398676592225,1.8277196589466047,1.2294700952574844,0.0010993110124318999,0.02114059639292115,65.17999999999999,88.1,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | current_volume,,159,41,False,False,1.5975864605144208,1.7740817630150112,False,True,1.768996841301012,2.1325704980939637,False,False,1.753801309190813,2.2415039768618947,False,False,1.588990815731912,1.9959148616138005,False,False,1.4552551419378932,2.130434782608696,False,False,待主题与代表文献审阅
N0186,Field (mathematics) / Electromagnetic field / Mathematics,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,45,11973,0.0037224903869753742,29,11985,0.0024111156518185533,17,9992,0.0017086506541691077,9,7998,0.0011517943743937925,13,7996,0.001637157409653165,45,29,1.543887114733685,3,55,18.333333333333332,0.0017571868934604844,2.1184373732975863,1.543887114733685,0.38934446763633446,3,4,3,91,0.002614085564321012,8,1,0.6666666666666666,52,124,30.0,1.7096774193548387,0.2788939882374019,0.001836228287841191,2.0272481431771294,1.3698464912917299,0.00013189459851471052,0.004710521375525376,59.91,87.64999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,182,46,False,False,1.9760091309917929,1.4825766723013767,False,True,2.1216396817713563,1.5455365933705285,False,True,2.574051580398329,1.9954598194017052,False,False,1.8061618286714054,1.3537286127033115,False,True,2.240269109888426,2.03448275862069,False,False,待主题与代表文献审阅
N0269,Sustainability / Ecology / Environmental resource management,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,109,11973,0.008958520821402274,71,11985,0.005843890478136494,50,9992,0.004930677602030854,23,7998,0.00284917555771096,21,7996,0.0026073247635217075,109,71,1.5329720594385567,3,144,48.0,0.004541247879292769,1.9727002488129823,1.5329720594385567,0.29856435161023676,3,4,3,230,0.006577696300523207,12,3,1.0,218,443,90.66666666666667,2.389090909090909,0.4309189638479351,0.004780810587262201,1.8738497704282608,1.4617925233716111,1.3980332811551856e-07,1.3980332811551857e-05,87.42999999999999,87.38,False,False,多年背景上持续抬升,2026Q2,True,True,,,31,49,False,True,1.9522551711579996,1.614454465248505,True,True,1.9757188258447758,1.5346098765035425,True,True,2.061595000256944,1.7194120771184866,False,False,1.8616325401077867,1.478571501355976,False,False,1.8339472484722,1.4175824175824174,False,False,待主题与代表文献审阅
N0265,Stability (learning theory) / Mathematics / Machine learning,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,57,11973,0.004704246093430418,42,11985,0.003473641193297916,16,9992,0.001611013473930873,18,7998,0.002242967992240543,13,7996,0.001637157409653165,57,42,1.3542694341910864,3,76,25.333333333333332,0.0024425408864897774,1.9259641136206245,1.3542694341910864,0.5358010285710013,4,4,3,115,0.003262966920219736,10,2,0.8333333333333334,80,185,50.0,1.588235294117647,0.40976621901612614,0.002531017369727047,1.8586384075024105,1.3201580468461958,0.00012550510143489042,0.004710521375525376,74.75,87.33999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years,,94,50,False,False,1.8241881343858672,1.261728865194212,False,True,1.8953443381875963,1.3321386513253153,False,True,1.9738985528372786,1.3752100455225933,False,True,2.3692190267561535,1.4599034058565123,False,True,1.9563134343465478,1.4705882352941175,False,False,待主题与代表文献审阅
N0155,Fault (geology) / Fault detection and isolation / Fault indicator,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,54,11973,0.004458807166816657,31,11985,0.002574581119738455,27,9992,0.0026850224565514546,23,7998,0.00284917555771096,33,7996,0.004062575794324521,54,31,1.7318573233651366,3,81,27.0,0.00270292637800029,1.6496221292255187,1.0975320566438853,0.25359609362095314,4,4,3,112,0.0032394702477021894,11,2,0.9166666666666666,72,151,46.333333333333336,1.5422535211267605,0.40038918683279445,0.002696443341604632,1.6535883020494904,1.1734917511385567,0.0015761403335486266,0.02688115906998694,73.71,87.03999999999999,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years,,103,53,False,False,1.5258142135725072,1.5161951909476663,False,True,1.6523328698770747,1.7337076281119603,False,False,1.5635659575066303,1.6933928157273634,False,False,1.4074755294644183,1.4599034058565123,False,True,1.7802509156935427,2.0857142857142854,False,False,待主题与代表文献审阅
N0396,Incentive / Microeconomics / Tariff,待主题范围审阅,NMF关键词主题,待主题范围审阅,True,False,36,11973,0.0029861736071340917,10,11985,0.0008581937065794851,24,9992,0.0023921109158367504,14,7998,0.0017580019398642096,22,7996,0.0027285956827552754,36,10,3.4796032460272013,3,48,16.0,0.0016694355207601483,1.7887325206632658,1.0943994473078986,0.11090831664149903,4,4,3,70,0.0020788260765167758,8,1,0.6666666666666666,38,99,31.333333333333332,1.2061855670103094,0.3092021838658696,0.0016046319272125724,1.8609710778479984,1.2112019415496216,0.00181906219527155,0.029339712826960483,54.010000000000005,86.48,False,False,多年背景上持续抬升,2026Q2,False,True,annual_volume | active_years | persistence | current_volume,,220,56,False,False,1.5043605210019493,4.122547254725473,False,True,1.791861657443921,3.483320830793755,False,False,1.5199685498073023,3.7477946493130876,False,False,2.004791558962785,2.484177880981509,False,False,1.2351197142796846,2.3333333333333335,False,False,待主题与代表文献审阅
