category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
N0447,0.736,0.766,0.566,0.75,0.676
N0448,0.21,0.572,0.134,0.75,0.15
N0449,0.518,0.518,0.514,0.5,0.334
N0450,0.184,0.506,0.104,0.25,0.074
N0451,0.912,0.898,0.664,1.0,0.674
N0452,0.636,0.764,0.682,0.75,0.696
N0453,0.82,0.82,0.612,1.0,0.668
N0454,0.248,0.918,0.266,1.0,0.602
N0455,0.262,0.568,0.162,0.75,0.27
N0456,0.688,0.804,0.662,0.75,0.77
N0457,0.684,0.674,0.846,0.75,0.898
N0458,0.992,0.994,0.984,1.0,0.99
N0459,0.818,0.824,0.952,1.0,0.834
N0460,0.908,0.702,0.982,0.5,0.472
N0461,0.704,0.776,0.654,0.75,0.91
N0462,0.728,0.866,0.736,1.0,0.618
N0463,0.5,0.444,0.8,0.25,0.422
N0464,0.738,0.802,0.598,0.75,0.364
N0465,0.428,0.61,0.27,0.75,0.404
N0466,0.32,0.286,0.418,0.5,0.332
N0467,0.468,0.828,0.334,0.5,0.85
N0468,0.578,0.552,0.47,0.5,0.58
N0469,0.626,0.706,0.594,0.75,0.456
N0470,0.932,0.796,0.934,0.75,0.95
N0471,0.742,0.746,0.492,0.5,0.662
N0472,0.886,0.96,0.884,0.75,0.902
N0473,0.964,0.752,0.876,0.75,0.886
N0474,0.914,0.708,0.896,0.5,0.864
N0475,0.114,0.142,0.282,0.25,0.14
N0476,0.828,0.872,0.828,0.75,0.74
N0477,0.778,0.808,0.802,1.0,0.84
N0478,0.062,0.18,0.122,0.5,0.042
N0479,0.92,0.886,0.716,0.75,0.936
N0480,0.116,0.046,0.136,0.25,0.17
N0481,0.642,0.272,0.668,0.25,0.316
N0482,0.72,0.834,0.738,0.5,0.568
N0483,0.214,0.306,0.418,0.5,0.164
N0484,0.44,0.14,0.494,0.25,0.452
N0485,0.774,0.528,0.816,0.75,0.558
N0486,0.418,0.42,0.364,0.25,0.272
N0487,0.372,0.654,0.854,0.5,0.298
N0488,0.572,0.472,0.436,0.5,0.512
N0489,0.522,0.568,0.86,0.5,0.49
N0490,0.218,0.146,0.238,0.25,0.228
N0491,0.296,0.462,0.194,0.5,0.186
N0492,0.892,0.93,0.726,1.0,0.946
N0493,0.95,0.806,0.874,1.0,0.824
N0494,0.76,0.694,0.75,0.75,0.792
N0495,0.11,0.066,0.174,0.0,0.152
N0496,0.98,0.842,0.918,0.5,0.976
N0497,0.812,0.852,0.72,1.0,0.918
N0498,0.294,0.108,0.486,0.0,0.672
N0499,0.436,0.47,0.432,0.75,0.52
N0500,0.056,0.126,0.04,0.25,0.048
